Wavelength(nm),Spectral intensity (W m-2 nm-1),Reflection (Total),Reflection (External),Reflection (Escape),Absorption (Substrate),Absorption (Front films),Absorption (Rear films),Absorption (Detached reflector),Transmission,Pathlength enhancement factor (z)
1020,0.69665,0.12836548132689476,0.09523587678834602,0.03312960453854874,0.86279327323256,0,0,0,0.006542787385334975,3.858488682267186
1025,0.6924999999999999,0.12874501329330434,0.08473020216234727,0.04401481113095708,0.8588786701682183,0,0,0,0.010269520406093243,4.021395236715519
1030,0.686875,0.1325335959253906,0.08114503166586498,0.05138856425952562,0.8501764676888859,0,0,0,0.014334712877044499,4.30125292806225
1035,0.677225,0.15551816031135055,0.08507499209082632,0.07044316822052422,0.8225346143288066,0,0,0,0.01916329042627795,4.3478464258332785
1040,0.6707000000000001,0.1750600940100284,0.08461283603598595,0.09044725797404245,0.8022265728278447,0,0,0,0.020277147579953973,4.660782057664454
1045,0.6587250000000001,0.1662880273567066,0.06004489089406263,0.10624313646264398,0.7965024345124361,0,0,0,0.035165559944216815,4.846464509250761
1050,0.6544000000000001,0.21655959150433862,0.08661455290891876,0.12994503859541987,0.7451707281728266,0,0,0,0.03547175386196513,5.1924243444237215
1055,0.645275,0.2322385598284273,0.08046994000380331,0.151768619824624,0.7185364747892081,0,0,0,0.04666777239032743,5.556517609814927
1060,0.627325,0.2298295072845902,0.07219204268462996,0.15763746459996025,0.714495231197307,0,0,0,0.053046480384378175,6.629425554730819
1065,0.622625,0.24454083168850554,0.04398405736145327,0.20055677432705227,0.6803606667470934,0,0,0,0.0726532967659079,6.544589895887669
1070,0.606725,0.30564440023345135,0.08461330336330336,0.221031096870148,0.6314286619049471,0,0,0,0.06046810556657772,7.353467181608264
1075,0.606075,0.30551298122127896,0.08323788502123794,0.22227509620004102,0.6290261991412206,0,0,0,0.06329729352165694,8.188794864552014
1080,0.5938249999999999,0.3642365882326094,0.0867298812991697,0.2775067069334397,0.5714738580681777,0,0,0,0.06151179007955003,7.948527997847289
1085,0.5770500000000001,0.3430085203244924,0.09108479249471838,0.251923727829774,0.579869451284569,0,0,0,0.07290757265009991,9.37090357778149
1090,0.575575,0.38064925067028915,0.09202688756538728,0.28862236310490186,0.538280246935698,0,0,0,0.07934965859045492,9.574742521419916
1095,0.5288999999999999,0.3882958624453826,0.07121865203761757,0.31707721040776504,0.5290260682635999,0,0,0,0.07897875964942717,10.307534843352123
1100,0.493,0.3752280384836811,0.0536570409243799,0.3215709975593012,0.503098511565031,0,0,0,0.1169111518121022,10.858594870998337
1105,0.461375,0.43392648519711763,0.06959254032698184,0.3643339448701358,0.452336806437673,0,0,0,0.11091959742753611,10.765634755707152
1110,0.4074999999999999,0.4583117857457826,0.0808411947819423,0.3774705909638403,0.43065017688675855,0,0,0,0.10720019915358474,11.70904769455082
1115,0.22632,0.4434955630804588,0.04322264413729389,0.4002729189431649,0.4230731507601607,0,0,0,0.1297497158887243,12.4567355233666
1120,0.14540499999999998,0.47998435751697177,0.07700349730336767,0.40298086021360413,0.36893108301592537,0,0,0,0.1474721836879971,12.793738473715065
1125,0.11506249999999998,0.5201088972571354,0.09625665733353542,0.4238522399236,0.3408557115415291,0,0,0,0.1389113555541475,13.529302923224183
1130,0.16011250000000002,0.46961801940147596,0.06605151789106822,0.40356650151040774,0.33692033457399284,0,0,0,0.19302286732787094,14.919701514010441
1135,0.12489999999999998,0.5265602960645527,0.07589890480441448,0.4506613912601382,0.2963068743049447,0,0,0,0.17698035961470038,15.568879203262453
1140,0.238875,0.5872260628869642,0.06887919874399195,0.5183468641429723,0.2662978716743232,0,0,0,0.146416133881751,16.882172545510713
1145,0.1603,0.5785544085207736,0.0648773883168008,0.5136770202039728,0.2425969524591329,0,0,0,0.17884863902009357,17.912283698343597
1150,0.206275,0.6074387759649872,0.06632386062533122,0.5411149153396559,0.20058778604430968,0,0,0,0.19192250532801536,17.77729945716897
1155,0.25717500000000004,0.5966651361260963,0.05961939295272629,0.53704574317337,0.19026933298125748,0,0,0,0.20524193253525352,20.559240491201656
1160,0.328825,0.6124298065943273,0.08815323765899431,0.524276568935333,0.16153032381442262,0,0,0,0.2260398695912501,23.264504791494897
